urn,SchoolName,school_name_gias,LAName,la_name_gias,SchoolType,TotalPupils,TotalExpenditure,TeachingStaffCosts,SupplyTeachingStaffCosts,EducationSupportStaffCosts,AgencySupplyTeachingStaffCosts,EducationalConsultancyCosts,status,URN,PeriodCoveredByReturn,TotalTeachingSupportStaffCosts,TotalNonEducationalSupportStaffCosts,AdministrativeClericalStaffCosts,AuditorsCosts,OtherStaffCosts,ProfessionalServicesNonCurriculumCosts,TotalEducationalSuppliesCosts,ExaminationFeesCosts,LearningResourcesNonIctCosts,LearningResourcesIctCosts,TotalPremisesStaffServiceCosts,CleaningCaretakingCosts,MaintenancePremisesCosts,OtherOccupationCosts,PremisesStaffCosts,TotalUtilitiesCosts,EnergyCosts,WaterSewerageCosts,AdministrativeSuppliesNonEducationalCosts,TotalGrossCateringCosts,TotalNetCateringCosts,CateringStaffCosts,CateringSuppliesCosts,TotalOtherCosts,GroundsMaintenanceCosts,IndirectEmployeeExpenses,InterestChargesLoanBank,OtherInsurancePremiumsCosts,PrivateFinanceInitiativeCharges,RentRatesCosts,SpecialFacilitiesCosts,StaffDevelopmentTrainingCosts,StaffRelatedInsuranceCosts,SupplyTeacherInsurableCosts,CommunityFocusedSchoolStaff,CommunityFocusedSchoolCosts
100000,The Aldgate School,The Aldgate School,City of London,City of London,Voluntary aided school,249.0,2870789.0,1231961.0,0.0,599428.0,34852.0,73784.0,success,100000.0,12.0,1940025.0,278965.0,189994.0,,23140.0,65831.0,94887.0,0.0,94887.0,44001.0,179422.0,53525.0,21079.0,28731.0,76087.0,53161.0,43295.0,9866.0,36524.0,137662.0,132182.0,0.0,137662.0,106142.0,9159.0,6902.0,0.0,0.0,0.0,10278.0,0.0,576.0,20664.0,0.0,57560.0,1003.0
100005,Thomas Coram Centre,Thomas Coram Centre,Camden,Camden,Local authority nursery school,90.0,1991278.0,371840.0,0.0,1065035.0,9150.0,0.0,success,100005.0,12.0,1446025.0,158849.0,74490.0,,56488.0,27871.0,23887.0,0.0,23887.0,21718.0,75259.0,30677.0,13134.0,1875.0,29573.0,0.0,0.0,0.0,56384.0,132755.0,116394.0,93967.0,38788.0,76401.0,0.0,72354.0,0.0,882.0,0.0,44.0,0.0,1965.0,1156.0,0.0,0.0,0.0
100006,Heath School,Heath School,Camden,Camden,Pupil referral unit,63.0,2731004.0,1033284.0,0.0,595082.0,38044.0,279093.0,success,100006.0,12.0,1945503.0,412932.0,107222.0,,0.0,305710.0,63908.0,7953.0,55955.0,47957.0,114489.0,2697.0,38530.0,8423.0,64839.0,34577.0,34577.0,0.0,7623.0,26304.0,26304.0,0.0,26304.0,77714.0,0.0,36851.0,0.0,443.0,0.0,0.0,35526.0,4274.0,620.0,0.0,0.0,0.0
100007,Camden Primary Pupil Referral Unit,Camden Primary Pupil Referral Unit,Camden,Camden,Pupil referral unit,19.0,2560336.0,1365760.0,0.0,583992.0,56953.0,128984.0,success,100007.0,12.0,2135689.0,188447.0,55762.0,,73548.0,59137.0,27476.0,0.0,27476.0,23202.0,61732.0,19928.0,20456.0,2527.0,18821.0,44205.0,44205.0,0.0,5418.0,13301.0,13301.0,0.0,13301.0,60865.0,0.0,39326.0,0.0,18.0,0.0,0.0,22.0,21067.0,432.0,0.0,0.0,0.0
100008,Argyle Primary School,Argyle Primary School,Camden,Camden,Community school,278.0,3657636.0,1315034.0,0.0,791630.0,1330.0,509717.0,success,100008.0,12.0,2617711.0,272482.0,127203.0,,118702.0,26577.0,99919.0,0.0,99919.0,48988.0,222769.0,10393.0,53290.0,6369.0,152717.0,62035.0,54096.0,7939.0,20169.0,138428.0,134104.0,0.0,138428.0,175133.0,12087.0,55762.0,0.0,10265.0,0.0,61712.0,14847.0,14922.0,3283.0,2255.0,0.0,0.0
100009,West Hampstead Primary School,West Hampstead Primary School,Camden,Camden,Community school,409.0,3613893.0,1489951.0,0.0,455656.0,92531.0,501554.0,success,100009.0,12.0,2539692.0,241989.0,194863.0,,19784.0,27342.0,148316.0,0.0,148316.0,15983.0,208828.0,68675.0,50034.0,12335.0,77784.0,73315.0,61460.0,11855.0,29424.0,185435.0,121772.0,12638.0,172797.0,170912.0,1201.0,46186.0,0.0,13721.0,0.0,73416.0,19291.0,10776.0,3428.0,2893.0,0.0,0.0
100010,Brecknock Primary School,Brecknock Primary School,Camden,Camden,Community school,277.0,3355351.0,1255052.0,0.0,611010.0,102746.0,508574.0,success,100010.0,12.0,2477382.0,156627.0,116970.0,,9203.0,30454.0,127301.0,0.0,127301.0,42604.0,182005.0,71923.0,38487.0,10459.0,61136.0,71999.0,64918.0,7081.0,22652.0,135170.0,128148.0,0.0,135170.0,139612.0,1965.0,47303.0,0.0,10231.0,0.0,57456.0,10174.0,7459.0,2960.0,2064.0,0.0,0.0
100011,Brookfield Primary School,Brookfield Primary School,Camden,Camden,Community school,384.5,3570072.0,1475999.0,0.0,752677.0,42344.0,316159.0,success,100011.0,12.0,2587179.0,236439.0,163031.0,,54405.0,19003.0,94836.0,0.0,94836.0,26811.0,182646.0,0.0,47155.0,11270.0,124221.0,60945.0,47221.0,13724.0,29642.0,176895.0,168159.0,0.0,176895.0,174683.0,2053.0,66353.0,0.0,7060.0,0.0,66500.0,4880.0,21653.0,3522.0,2662.0,0.0,0.0
100013,Edith Neville Primary School,Edith Neville Primary School,Camden,Camden,Community school,202.5,2738847.0,983584.0,0.0,325923.0,121102.0,596797.0,success,100013.0,12.0,2027406.0,156790.0,100484.0,,15749.0,40557.0,42705.0,0.0,42705.0,4372.0,153550.0,48269.0,42014.0,6426.0,56841.0,55120.0,45709.0,9411.0,25206.0,110170.0,84043.0,0.0,110170.0,163527.0,9834.0,29168.0,0.0,7877.0,0.0,22580.0,1983.0,5037.0,6601.0,21839.0,58608.0,0.0
100014,Fleet Primary School,Fleet Primary School,Camden,Camden,Community school,215.0,2246580.0,883578.0,0.0,320767.0,94289.0,325357.0,success,100014.0,12.0,1623991.0,152357.0,132263.0,,0.0,20094.0,71735.0,0.0,71735.0,16481.0,104711.0,33504.0,36355.0,8543.0,26309.0,49385.0,47011.0,2374.0,11698.0,101412.0,97401.0,0.0,101412.0,114808.0,7245.0,29597.0,0.0,7529.0,0.0,40166.0,150.0,7154.0,2625.0,20342.0,0.0,0.0
