urn,school_name,la_code,la_name,school_type,phase,address_1,address_2,address_3,town,county,postcode,phone,head_title,head_first_name,head_last_name,website,trust_code,trust_name,pupil_count,headteacher
100000,The Aldgate School,201,City of London,Voluntary aided school,Primary,St James's Passage,Duke's Place,,London,,EC3A 5DE,2072831147.0,Miss,Alexandra,Allan,www.thealdgateschool.org,,,249.0,Miss Alexandra Allan
100001,City of London School for Girls,201,City of London,Other independent school,Not applicable,St Giles' Terrace,Barbican,,London,,EC2Y 8BB,2078475500.0,Mrs,Jenny,Brown,http://www.clsg.org.uk,,,780.0,Mrs Jenny Brown
100002,St Paul's Cathedral School,201,City of London,Other independent school,Not applicable,2 New Change,,,London,,EC4M 9AD,2072485156.0,Mrs,Judith,Fremont-Barnes,http://www.spcslondon.com,,,285.0,Mrs Judith Fremont-Barnes
100003,City of London School,201,City of London,Other independent school,Not applicable,107 Queen Victoria Street,,,London,,EC4V 3AL,2036806300.0,Mr,Alan,Bird,http://www.cityoflondonschool.org.uk,,,1074.0,Mr Alan Bird
100005,Thomas Coram Centre,202,Camden,Local authority nursery school,Nursery,49 Mecklenburgh Square,,,London,,WC1N 2NY,2075200385.0,Ms,Perina,Holness,http://www.thomascoram.camden.sch.uk/,,,116.0,Ms Perina Holness
100006,Heath School,202,Camden,Pupil referral unit,Not applicable,Agincourt Road,,,London,,NW3 2NY,2079748906.0,Mr,Alex,Wilson,http://heath.h3federation.org.uk/,,,31.0,Mr Alex Wilson
100007,Camden Primary Pupil Referral Unit,202,Camden,Pupil referral unit,Not applicable,"Robson House, Netley Campus",74 Stanhope Street,,London,,NW1 3EX,2037720370.0,Mr,John,Hayes,http://www.robsonhouse.org.uk/main/,,,19.0,Mr John Hayes
100008,Argyle Primary School,202,Camden,Community school,Primary,Tonbridge Street,,,London,,WC1H 9EG,2078374590.0,Ms,Jemima,Wade,http://www.argyle.camden.sch.uk/,,,278.0,Ms Jemima Wade
100009,West Hampstead Primary School,202,Camden,Community school,Primary,Dornfell Street,West Hampstead,,London,,NW6 1QL,2074358646.0,Mr,Samuel,Drake,http://www.westhampstead.camden.sch.uk/,,,409.0,Mr Samuel Drake
100010,Brecknock Primary School,202,Camden,Community school,Primary,Cliff Villas,Camden,,London,,NW1 9AL,2074856334.0,Ms,Helen,Bruckdorfer,http://www.brecknock.camden.sch.uk/,,,288.0,Ms Helen Bruckdorfer
100011,Brookfield Primary School,202,Camden,Community school,Primary,Chester Road,,,London,,N19 5DH,2072729627.0,Mr,Simon,Shiel,http://www.brookfield.camden.sch.uk/,,,394.0,Mr Simon Shiel
100013,Edith Neville Primary School,202,Camden,Community school,Primary,85 Polygon Road,,,London,,NW1 1HQ,2073877158.0,,Ruby,Nasser,http://www.edithneville.camden.sch.uk/,,,204.0,Ruby Nasser
100014,Fleet Primary School,202,Camden,Community school,Primary,Fleet Road,,,London,,NW3 2QT,2074852028.0,,Donald,McGibbon,http://www.fleet.camden.sch.uk/,,,215.0,Donald McGibbon
